Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
1/13/2017,Gores Holdings II ,GSHTU,Deutsche Bank Securities,$10.00 ,$10.16 ,$10.25 ,2.50%,$0.16 ,$0.25 ,1,
1/20/2017,FinTech Acquisition Corp. II,FNTEU,Cantor Fitzgerald & Co.,$10.00 ,$10.10 ,$10.05 ,0.50%,$0.10 ,$0.05 ,1,
1/20/2017,Keane Group ,FRAC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,$19.00 ,$22.18 ,$21.65 ,13.95%,$3.18 ,$2.65 ,3,
1/26/2017,AnaptysBio ,ANAB,Credit Suisse/ Stifel,$15.00 ,$16.00 ,$17.00 ,13.33%,$1.00 ,$2.00 ,2,
1/26/2017,ObsEva SA  ,OBSV,Credit Suisse/ Jefferies/ Leerink Partners,$15.00 ,$13.29 ,$11.65 ,-22.33%,($1.71),($3.35),2,Missed
1/27/2017,Jagged Peak Energy ,JAG,Citigroup/ Credit Suisse/ J.P. Morgan,$15.00 ,$14.18 ,$14.33 ,-4.47%,($0.82),($0.67),1,
1/27/2017,JELD-WEN Holding ,JELD,Barclays/ Citigroup/ Credit Suisse/ J.P. Morgan,$23.00 ,$25.32 ,$26.12 ,13.57%,$2.32 ,$3.12 ,3,
1/27/2017,Jounce Therapeutics ,JNCE,J.P. Morgan/ Cowen and Company,$16.00 ,$18.00 ,$17.25 ,7.81%,$2.00 ,$1.25 ,2,
1/27/2017,REV Group ,REVG,Goldman Sachs/ Morgan Stanley/ Baird,$22.00 ,$25.75 ,$25.00 ,13.64%,$3.75 ,$3.00 ,2,
2/1/2017,Invitation Homes ,INVH,Deutsche Bank Securities/ J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs/ Wells Fargo Securities/ Credit Suisse/ Morgan Stanley/ RBC Capital Market,$20.00 ,$20.15 ,$20.00 ,0.00%,$0.15 ,$0.00 ,2,Missed
2/1/2017,Laureate Education ,LAUR,Credit Suisse/ Morgan Stanley/ Barclays/ Macquarie Capital/ J.P. Morgan/ BMO Capital Markets/ Citigroup/ KKR/ Goldman Sachs,$14.00 ,$12.50 ,$13.25 ,-5.36%,($1.50),($0.75),1,
2/3/2017,"Kimbell Royalty Partners, LP ",KRP,Raymond James/ RBC Capital Markets/ Stifel,$18.00 ,$18.11 ,$20.64 ,14.67%,$0.11 ,$2.64 ,1,
2/3/2017,Ramaco Resources ,METC,Credit Suisse/ Jefferies/ BMO Capital Markets,$13.50 ,$14.55 ,$13.55 ,0.37%,$1.05 ,$0.05 ,2,
2/10/2017,Clipper Realty ,CLPR,FBR/ Raymond James,$13.50 ,$15.00 ,$13.50 ,0.00%,$1.50 ,$0.00 ,1,
2/10/2017,Foundation Building Materials ,FBM,Deutsche Bank Securities/ Barclays/ RBC Capital Markets/ Citigroup/ Baird,$14.00 ,$15.80 ,$15.50 ,10.71%,$1.80 ,$1.50 ,1,
2/10/2017,Sachem Capital ,SACH,Joseph Gunnar,$5.00 ,$4.90 ,$5.04 ,0.80%,($0.10),$0.04 ,1,
